id,label,heuristicLabel,processType,stepCount,communities,entryPointId,terminalId
"proc_69_permitusagebymonth","PermitUsageByMonth → FetchPermitsByYear","PermitUsageByMonth → FetchPermitsByYear","intra_community",3,"['comm_20']","Method:backend/src/main/java/com/freqmanage/module/statistics/controller/StatisticsController.java:StatisticsController.permitUsageByMonth#3","Method:backend/src/main/java/com/freqmanage/module/statistics/service/StatisticsService.java:StatisticsService.fetchPermitsByYear#3"
"proc_70_permitusagebymonth","PermitUsageByMonth → PermitUsageByMonthVO","PermitUsageByMonth → PermitUsageByMonthVO","intra_community",3,"['comm_20']","Method:backend/src/main/java/com/freqmanage/module/statistics/controller/StatisticsController.java:StatisticsController.permitUsageByMonth#3","Class:backend/src/main/java/com/freqmanage/module/statistics/vo/PermitUsageByMonthVO.java:PermitUsageByMonthVO"
"proc_71_permitcountbytype","PermitCountByType → CountByCategoryAndProvince","PermitCountByType → CountByCategoryAndProvince","intra_community",3,"['comm_10']","Method:backend/src/main/java/com/freqmanage/module/statistics/controller/StatisticsController.java:StatisticsController.permitCountByType#2","Method:backend/src/main/java/com/freqmanage/module/permit/mapper/SpecialPermitMapper.java:SpecialPermitMapper.countByCategoryAndProvince#2"
"proc_72_permitcountbytype","PermitCountByType → LicenseCountByTypeVO","PermitCountByType → LicenseCountByTypeVO","intra_community",3,"['comm_10']","Method:backend/src/main/java/com/freqmanage/module/statistics/controller/StatisticsController.java:StatisticsController.permitCountByType#2","Class:backend/src/main/java/com/freqmanage/module/statistics/vo/LicenseCountByTypeVO.java:LicenseCountByTypeVO"
"proc_73_permitstationcountde","PermitStationCountDetail → StationCountDetailVO","PermitStationCountDetail → StationCountDetailVO","intra_community",3,"['comm_0']","Method:backend/src/main/java/com/freqmanage/module/statistics/controller/StatisticsController.java:StatisticsController.permitStationCountDetail#2","Class:backend/src/main/java/com/freqmanage/module/statistics/vo/StationCountDetailVO.java:StationCountDetailVO"
"proc_74_permitvalidityforeca","PermitValidityForecast → ValidityForecastVO","PermitValidityForecast → ValidityForecastVO","intra_community",3,"['comm_0']","Method:backend/src/main/java/com/freqmanage/module/statistics/controller/StatisticsController.java:StatisticsController.permitValidityForecast#2","Class:backend/src/main/java/com/freqmanage/module/statistics/vo/ValidityForecastVO.java:ValidityForecastVO"
"proc_75_stationgrowthtrend","StationGrowthTrend → CountStations","StationGrowthTrend → CountStations","intra_community",3,"['comm_22']","Method:backend/src/main/java/com/freqmanage/module/statistics/controller/StatisticsController.java:StatisticsController.stationGrowthTrend#3","Method:backend/src/main/java/com/freqmanage/module/statistics/service/StatisticsService.java:StatisticsService.countStations#4"
"proc_76_stationgrowthtrend","StationGrowthTrend → MonthlyGrowthVO","StationGrowthTrend → MonthlyGrowthVO","intra_community",3,"['comm_22']","Method:backend/src/main/java/com/freqmanage/module/statistics/controller/StatisticsController.java:StatisticsController.stationGrowthTrend#3","Class:backend/src/main/java/com/freqmanage/module/statistics/vo/MonthlyGrowthVO.java:MonthlyGrowthVO"
"proc_77_create","Create → RsbtOrganization","Create → RsbtOrganization","intra_community",3,"['comm_25']","Method:backend/src/main/java/com/freqmanage/module/system/controller/OrganizationController.java:OrganizationController.create#1","Class:backend/src/main/java/com/freqmanage/module/system/entity/RsbtOrganization.java:RsbtOrganization"
"proc_78_create","Create → CopyProperties","Create → CopyProperties","intra_community",3,"['comm_25']","Method:backend/src/main/java/com/freqmanage/module/system/controller/OrganizationController.java:OrganizationController.create#1","Method:backend/src/main/java/com/freqmanage/module/system/service/OrganizationService.java:OrganizationService.copyProperties#2"
"proc_79_create","Create → BizException","Create → BizException","intra_community",3,"['comm_27']","Method:backend/src/main/java/com/freqmanage/module/system/controller/RoleController.java:RoleController.create#1","Constructor:backend/src/main/java/com/freqmanage/common/BizException.java:BizException.BizException#2"
"proc_80_create","Create → RsbtRole","Create → RsbtRole","intra_community",3,"['comm_27']","Method:backend/src/main/java/com/freqmanage/module/system/controller/RoleController.java:RoleController.create#1","Class:backend/src/main/java/com/freqmanage/module/system/entity/RsbtRole.java:RsbtRole"
"proc_81_create","Create → RsbtRolePermission","Create → RsbtRolePermission","intra_community",3,"['comm_27']","Method:backend/src/main/java/com/freqmanage/module/system/controller/RoleController.java:RoleController.create#1","Class:backend/src/main/java/com/freqmanage/module/system/entity/RsbtRolePermission.java:RsbtRolePermission"
"proc_82_create","Create → BizException","Create → BizException","intra_community",3,"['comm_1']","Method:backend/src/main/java/com/freqmanage/module/system/controller/UserController.java:UserController.create#1","Constructor:backend/src/main/java/com/freqmanage/common/BizException.java:BizException.BizException#2"
"proc_83_create","Create → RsbtUser","Create → RsbtUser","intra_community",3,"['comm_1']","Method:backend/src/main/java/com/freqmanage/module/system/controller/UserController.java:UserController.create#1","Class:backend/src/main/java/com/freqmanage/module/system/entity/RsbtUser.java:RsbtUser"
"proc_84_resetpassword","ResetPassword → BizException","ResetPassword → BizException","intra_community",3,"['comm_1']","Method:backend/src/main/java/com/freqmanage/module/system/controller/UserController.java:UserController.resetPassword#2","Constructor:backend/src/main/java/com/freqmanage/common/BizException.java:BizException.BizException#2"
"proc_85_update","Update → BizException","Update → BizException","intra_community",3,"['comm_7']","Method:backend/src/main/java/com/freqmanage/module/permit/controller/PermitController.java:PermitController.update#2","Constructor:backend/src/main/java/com/freqmanage/common/BizException.java:BizException.BizException#2"
"proc_86_update","Update → CopyProperties","Update → CopyProperties","intra_community",3,"['comm_7']","Method:backend/src/main/java/com/freqmanage/module/permit/controller/PermitController.java:PermitController.update#2","Method:backend/src/main/java/com/freqmanage/module/permit/service/PermitService.java:PermitService.copyProperties#2"
"proc_87_updatefrequency","UpdateFrequency → BizException","UpdateFrequency → BizException","intra_community",3,"['comm_1']","Method:backend/src/main/java/com/freqmanage/module/permit/controller/PermitController.java:PermitController.updateFrequency#2","Constructor:backend/src/main/java/com/freqmanage/common/BizException.java:BizException.BizException#2"
"proc_88_updatestationpermit","UpdateStationPermit → BizException","UpdateStationPermit → BizException","intra_community",3,"['comm_1']","Method:backend/src/main/java/com/freqmanage/module/permit/controller/PermitController.java:PermitController.updateStationPermit#2","Constructor:backend/src/main/java/com/freqmanage/common/BizException.java:BizException.BizException#2"
"proc_89_update","Update → BizException","Update → BizException","intra_community",3,"['comm_12']","Method:backend/src/main/java/com/freqmanage/module/planning/controller/PlanningController.java:PlanningController.update#2","Constructor:backend/src/main/java/com/freqmanage/common/BizException.java:BizException.BizException#2"
"proc_90_update","Update → CopyProperties","Update → CopyProperties","intra_community",3,"['comm_12']","Method:backend/src/main/java/com/freqmanage/module/planning/controller/PlanningController.java:PlanningController.update#2","Method:backend/src/main/java/com/freqmanage/module/planning/service/PlanningService.java:PlanningService.copyProperties#2"
"proc_91_update","Update → BizException","Update → BizException","intra_community",3,"['comm_14']","Method:backend/src/main/java/com/freqmanage/module/station/controller/StationController.java:StationController.update#2","Constructor:backend/src/main/java/com/freqmanage/common/BizException.java:BizException.BizException#2"
"proc_92_update","Update → CopyProperties","Update → CopyProperties","intra_community",3,"['comm_14']","Method:backend/src/main/java/com/freqmanage/module/station/controller/StationController.java:StationController.update#2","Method:backend/src/main/java/com/freqmanage/module/station/service/StationService.java:StationService.copyProperties#2"
"proc_93_update","Update → CopyProperties","Update → CopyProperties","intra_community",3,"['comm_25']","Method:backend/src/main/java/com/freqmanage/module/system/controller/OrganizationController.java:OrganizationController.update#2","Method:backend/src/main/java/com/freqmanage/module/system/service/OrganizationService.java:OrganizationService.copyProperties#2"
"proc_94_delete","Delete → BizException","Delete → BizException","intra_community",3,"['comm_1']","Method:backend/src/main/java/com/freqmanage/module/system/controller/OrganizationController.java:OrganizationController.delete#1","Constructor:backend/src/main/java/com/freqmanage/common/BizException.java:BizException.BizException#2"
"proc_95_update","Update → BizException","Update → BizException","intra_community",3,"['comm_27']","Method:backend/src/main/java/com/freqmanage/module/system/controller/RoleController.java:RoleController.update#2","Constructor:backend/src/main/java/com/freqmanage/common/BizException.java:BizException.BizException#2"
